molecule,num_levels,levels,slope,intercept,r_squared,upper_level,loq,accuracies
Lac,12,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0]",5461.9477318120735,15466.003566522615,0.89717,25.0,1.0,"[181.3, 69.1, 47.5, 99.4, 101.0, 130.3, 62.6, 114.8, 73.0, 106.9, 109.5, 118.1]"
Lac,11,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",6681.818747050465,15432.949414303537,0.61828,10.0,1.0,"[181.0, 69.0, 47.5, 99.6, 101.5, 132.4, 64.5, 121.3, 80.6, 122.1, 128.5]"
Lac,10,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",8665.086545300046,15385.258301236769,0.21613,5.0,5.0,"[180.6, 68.8, 47.5, 99.9, 102.5, 135.8, 67.8, 131.9, 92.9, 146.8]"
Lac,9,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",13070.72760520137,15290.107714767317,0.23213,2.5,2.5,"[179.7, 68.6, 47.6, 100.7, 104.7, 143.6, 75.0, 155.5, 120.3]"
Lac,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",17601.341065060402,15202.54979172285,-0.43646,1.0,1.0,"[179.0, 68.4, 47.7, 101.6, 107.0, 151.7, 82.5, 179.9]"
Lac,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",35258.520562343976,14912.570095913801,-0.11228,0.5,0.5,"[176.6, 67.9, 48.1, 105.3, 116.3, 183.6, 111.9]"
Lac,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",44975.38892345989,14775.13814561295,-0.55237,0.25,0.25,"[175.6, 67.7, 48.5, 107.5, 121.5, 201.4]"
Lac,5,"[0.005, 0.01, 0.025, 0.05, 0.1]",146173.95143487857,13549.189845474615,-0.53302,0.1,0.1,"[167.1, 66.8, 52.4, 131.8, 177.6]"
Glu_pos,11,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0, 100.0]",143845.90959508618,-7669.620480432858,0.99364,100.0,0.25,"[-8.8, 65.9, 108.2, 124.9, 128.9, 120.1, 125.3, 121.8, 114.0, 102.0, 93.0]"
Glu_pos,10,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0]",132162.85241578688,-4860.226805028301,0.99463,50.0,0.1,"[32.4, 81.9, 107.8, 119.0, 120.5, 111.1, 115.5, 112.1, 104.8, 93.7]"
Glu_pos,9,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0]",121778.1666892421,-2617.4001113719687,0.99826,25.0,0.1,"[64.4, 93.8, 106.5, 113.3, 112.8, 103.0, 106.7, 103.4, 96.6]"
Glu_pos,8,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",115802.66340016181,-1462.5837453924278,0.99953,10.0,0.05,"[80.2, 99.2, 105.2, 109.7, 108.2, 98.3, 101.7, 98.4]"
Glu_pos,7,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",113577.44580212852,-1097.1415057154345,0.99935,5.0,0.05,"[84.9, 100.6, 104.4, 108.2, 106.4, 96.5, 99.8]"
Glu_pos,6,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",113214.51306782826,-1045.809583074055,0.99697,2.5,0.05,"[85.6, 100.8, 104.3, 108.0, 106.1, 96.2]"
Glu_pos,5,"[0.05, 0.1, 0.25, 0.5, 1.0]",104695.12141280349,-13.746136865337803,0.99972,1.0,0.05,"[96.8, 102.5, 100.1, 101.7, 99.1]"
Glu_neg,14,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0, 100.0]",36235.41301097082,7255.235296202475,-0.06144,100.0,100.0,"[206.5, 389.6, 85.5, 60.1, 35.5, 21.7, 19.1, 18.3, 20.9, 25.0, 35.6, 73.4, 123.0, 219.0]"
Glu_neg,13,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0]",57220.47963437526,6585.300256123258,0.24716,50.0,50.0,"[190.8, 366.1, 84.0, 62.6, 40.1, 27.8, 26.5, 26.8, 32.0, 38.9, 55.7, 115.5, 193.8]"
Glu_neg,12,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0]",88708.09948317724,5658.504913966939,0.46079,25.0,25.0,"[169.5, 334.8, 82.5, 66.9, 47.4, 37.0, 37.6, 39.6, 48.6, 59.7, 86.0, 178.7]"
Glu_neg,11,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",139875.067437625,4272.062637506289,0.87023,10.0,10.0,"[138.1, 290.1, 81.4, 74.7, 59.5, 52.2, 55.8, 60.5, 75.7, 93.4, 135.1]"
Glu_neg,10,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",179519.55270303978,3318.742248330517,0.95145,5.0,0.5,"[117.1, 261.6, 81.8, 81.5, 69.3, 64.1, 70.0, 76.8, 96.7, 119.6]"
Glu_neg,9,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",214353.89990066824,2566.4093823370013,0.96701,2.5,0.025,"[101.0, 240.9, 83.0, 88.1, 78.2, 74.7, 82.6, 91.1, 115.1]"
Glu_neg,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",253987.2741166952,1800.4610267014275,0.99098,1.0,0.025,"[85.3, 222.0, 85.4, 96.1, 88.6, 86.9, 96.9, 107.4]"
Glu_neg,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",275297.4182104847,1450.4895545920383,0.99492,0.5,0.025,"[78.5, 215.0, 87.3, 100.9, 94.4, 93.5, 104.7]"
Glu_neg,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",292755.9738643436,1203.5619166148092,0.99795,0.25,0.025,"[74.1, 211.3, 89.3, 105.0, 99.3, 99.0]"
Glu_neg,5,"[0.005, 0.01, 0.025, 0.05, 0.1]",286772.40618101554,1276.04856512141,0.98579,0.1,0.025,"[75.3, 212.0, 88.5, 103.5, 97.6]"
